path,height,width,px_size,mm_size,size_class,cluster
/home/aubrey/Desktop/gpepp_nursery/38/38-009.png,6,7,7,0.1924398625429553,0.1-to-0.2-mm,3
/home/aubrey/Desktop/gpepp_nursery/38/38-017.png,8,7,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-004.png,18,11,18,0.4948453608247423,0.4-to-0.5-mm,0
/home/aubrey/Desktop/gpepp_nursery/38/38-016.png,6,6,6,0.1649484536082474,0.1-to-0.2-mm,3
/home/aubrey/Desktop/gpepp_nursery/35/35-045.png,24,10,24,0.6597938144329897,0.6-to-0.7-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-000.png,15,14,15,0.4123711340206185,0.4-to-0.5-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-038.png,10,9,10,0.274914089347079,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-023.png,31,11,31,0.852233676975945,0.8-to-0.9-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-037.png,7,7,7,0.1924398625429553,0.1-to-0.2-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-043.png,7,18,18,0.4948453608247423,0.4-to-0.5-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-013.png,7,8,8,0.2199312714776632,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-008.png,151,160,160,4.398625429553265,4-to-5-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-003.png,50,77,77,2.1168384879725086,2-to-3-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-022.png,20,14,20,0.5498281786941581,0.5-to-0.6-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-020.png,7,10,10,0.274914089347079,0.2-to-0.3-mm,0
/home/aubrey/Desktop/gpepp_nursery/35/35-042.png,13,11,13,0.3573883161512027,0.3-to-0.4-mm,1
/home/aubrey/Desktop/gpepp_nursery/35/35-050.png,12,9,12,0.3298969072164948,0.3-to-0.4-mm,1
